author,name,title,title_id,year,uri,tutor,tutor_id,tutor_profile,cotutor,cotutor_id,cotutor_profile
"Acevedo Aburto, Natalia Francisca",NOS CUIDAMOS: Diseño de información para el acompañamiento de cuidadoras de personas mayores. Plan piloto en la comuna de San Joaquín. Cesfam San Joaquín y Santa Teresa de los Andes.,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,https://repositorio.uchile.cl/handle/2250/207114,"Cortez Orellana, Felipe",51470,https://uchile.cl/portafolio-academico/academico/51470,,,
"Acuña Calderón, Krysthal Biannina",Armoras: Consideraciones para el diseño de un calzado en el contexto hospitalario,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,https://repositorio.uchile.cl/handle/2250/209410,"Perea Morales, René ",23435,https://uchile.cl/portafolio-academico/academico/23435,,,
"Aedo Valenzuela, Tamara Laura",Colaboratorio de memorias : construcción colaborativa de conocimientos sobre las casas COPEVA desde los relatos de sus habitantes,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2022,"https://repositorio.uchile.cl/handle/2250/191714","Cortez Orellana, Felipe",51470,https://uchile.cl/portafolio-academico/academico/51470,,,
"Alarcón Riquelme, Fernanda Carolina",Kontraformas: Laboratorio de Co-creación,Memoria para optar al título de Diseñadora,1,2024,https://repositorio.uchile.cl/handle/2250/200838,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Albornoz Durán, Katalina Lucía",Corsetería contemporánea: un análisis postfeminista de su uso en Chile,Memoria para optar al título de Diseñadora,1,2023,https://repositorio.uchile.cl/handle/2250/197635,"Nuñez Gutiérrez, Pablo",24818,https://uchile.cl/portafolio-academico/academico/24818,,,
"Arroyo Torrealba, Juan Antonio",FAU JAMs : Game Jams como experiencia de co-creación y experimentación colectiva,Memoria para optar al título de Diseñadora,1,2023,"https://repositorio.uchile.cl/handle/2250/196124","Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Bascuñan Stuven, Carolina Erika",CRONIC: Desarrollo de un juego de mesa narrativo modular,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,https://repositorio.uchile.cl/handle/2250/209406,"Tapia Reyes, Mauricio",34140,https://uchile.cl/portafolio-academico/academico/34140,,,
"Carrasco Fuentes, Ana Sofía",Marcas de nuestra historia : una propuesta editorial para la trayectoria visual de Nestlé Chile,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,https://repositorio.uchile.cl/handle/2250/209360,"Pradenas Guentherodt, Gabriela",34257,https://uchile.cl/portafolio-academico/academico/34257,,,
"Carrasco Pizarro, Fernanda Paz",Remembranzas,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2023,"https://repositorio.uchile.cl/handle/2250/195564","Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Castillo Silva, Laura Emilia",Parkease: Diseño de producto de asistencia para personas con enfermedad de Parkinson en Chile,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,https://repositorio.uchile.cl/handle/2250/209418,"Domínguez González, Pablo",51141,https://uchile.cl/portafolio-academico/academico/51141,,,
"Contreras Fuentes, Maria Jose",RANCAGUA. Compartimos el legado: Un estudio sobre la identidad colectiva de la ciudad y el desarrollo de City Branding basado en ella,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2024,https://repositorio.uchile.cl/handle/2250/200883,"Soto Calquín, Leonardo ",35210,https://uchile.cl/portafolio-academico/academico/35210,,,
"Cortés Musiatte, Camila Alejandra",Sistema modular para la realización de cianotipia sobre vidrio,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2022,"https://repositorio.uchile.cl/handle/2250/191755","Lares López, Lorna",57067,https://uchile.cl/portafolio-academico/academico/57067,,,
"Cruz Gaviria, Sara Joana",Proyecto Nuevos Sueños: Juego de Mesa e Interculturalidad para Estudiantes,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,https://repositorio.uchile.cl/handle/2250/207139,"Zorzano Betancourt, Osvaldo ",33113,https://uchile.cl/portafolio-academico/academico/33113,,,
"De la Barra Rosmanich, Trinidad",Sistema para construcción de equipamiento de senderos de Trekking en San Fabián,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2024,https://repositorio.uchile.cl/handle/2250/203324,"Tapia Reyes, Mauricio",34140,https://uchile.cl/portafolio-academico/academico/34140,,,
"Díaz Lara, Fernanda Belén",Parir en balance : diseño de dispositivo facilitador del movimiento durante la fase de dilatación : apoyo para mujeres gestantes en contextos hospitalarios,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,https://repositorio.uchile.cl/handle/2250/209194,"Silva Roquefort, Rebeca",43537,https://uchile.cl/portafolio-academico/academico/43537,,,
"Erices Miranda, Sheridan Anaís Vaitiare",Conectadas: El vínculo entre la visualidad y la lírica feminista.,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2024,https://repositorio.uchile.cl/handle/2250/203308,"Ode Saleh, Verónica",39338,https://uchile.cl/portafolio-academico/academico/39338,,,
"Ferrada Villarroel, Isidora Amanda",De la inspiración a la cubierta : las influencias externas en las cubiertas de la colección “Quimantú para todos” de la Editora Nacional Quimantú (1971-1973),"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2021,"https://repositorio.uchile.cl/handle/2250/188631","Vico Sánchez, Mauricio",17874,https://uchile.cl/portafolio-academico/academico/17874,,,
"Figueroa Ibarra, Valentina Amara",Dar voz al sentir: Propuesta desde el libro álbum para acompañar la ansiedad infantil,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Fuentes Rivas, Tania Francisca",Amita : juguete interactivo potenciador del área socioemocional a través de la motricidad fina para niños con trastorno del espectro autista,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2024,https://repositorio.uchile.cl/handle/2250/200905,"Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Gallardo Bustamante, Natalia Alejandra",Un anarchivo de Melipulli construcción de una cartografía sensible de la revuelta en Puerto Montt,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2022,"https://repositorio.uchile.cl/handle/2250/191874","Dueñas Santander, Rodrigo",17335,https://uchile.cl/portafolio-academico/academico/17335,,,
"García Ortúzar, Pablo Andrés",Diseño y desarrollo de mobiliario de interior utilizando ensambles tradicionales japoneses con fabricación asistida por router CNC,"Memoria para optar al título de Diseñador, mención Industrial y Servicios",3,2025,,"Tapia Reyes, Mauricio",34140,https://uchile.cl/portafolio-academico/academico/34140,,,
"Godoy Fuster, Lía","Rediseño del servicio de un espacio fotográfico, mediante un proceso de co-creación con participantes diversos, con foco en adultos mayores","Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2023,https://repositorio.uchile.cl/handle/2250/197647,"Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Gómez Nieto, Mariana",Diseño de un producto para la toma de Electroencefalograma (EEG)  enfocado en pacientes críticos adultos del Hospital de Neurocirugía Dr. Alfonso Asenjo (INCA).,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2024,https://repositorio.uchile.cl/handle/2250/204103,"Domínguez González, Pablo",51141,https://uchile.cl/portafolio-academico/academico/51141,,,
"González Inda, Pascal Wallace",Suficiente 2025 : indumentaria conceptual sobre no binariedades,Memoria para optar al título de Diseñador,1,2025,https://repositorio.uchile.cl/handle/2250/209451,"Dueñas Santander, Rodrigo",17335,https://uchile.cl/portafolio-academico/academico/17335,,,
"González Santibáñez, Almendra Catalina",Endémica del desierto: Investigación tipográfica,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2024,https://repositorio.uchile.cl/handle/2250/200802,"Osses Flores, Roberto",,,,,
"Guerrero Escobar, Josefa Antonia Catalina",Cuerpos residuales : la revalorización de lo muerto a través del diseño de moda,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,https://repositorio.uchile.cl/handle/2250/209399,"Nuñez Gutiérrez, Pablo",24818,https://uchile.cl/portafolio-academico/academico/24818,,,
"Guzmán Muñoz, Valeria","Craftas: espacio de re-creación. Diseño de un servicio de talleres craft para fomentar la creatividad, conexión y recreación de mujeres mayores de 18 años a través de la técnica de fotobordado.",Memoria para optar al título de Diseñadora,1,2024,https://repositorio.uchile.cl/handle/2250/207163,"Pradenas Guentherodt, Gabriela",34257,https://uchile.cl/portafolio-academico/academico/34257,,,
"Hurtado Sanhueza, David Gabriel",Estructuras corporales; Proyecciones del vestir,"Memoria para optar al título de Diseñador, mención Industrial y Servicios",3,2025,,"Nuñez Gutiérrez, Pablo",24818,https://uchile.cl/portafolio-academico/academico/24818,,,
"Ibáñez Durán, Catalina Belén",Flor de la Quebrada: Puesta en valor de la memoria y obra del grupo folklórico Alhué (1970-2001),"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2023,https://repositorio.uchile.cl/handle/2250/197515,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Jure Contreras, Marianne Arlette","Cacerolazo, relaciones mediales entre cacerola y kultrún en la protesta social de mujeres : diseño experimental de un muro sonoro","Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2022,"https://repositorio.uchile.cl/handle/2250/188053","Gómez Moya, Cristian",30442,https://uchile.cl/portafolio-academico/academico/30442,,,
"Lara Marín, Fernanda Paz","Set de experiencia para disminuir la sensación de soledad y aislamiento de adultas mayores, a través de la preparación y comensalidad de recetas significativas junto a seres queridos","Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2023,https://repositorio.uchile.cl/handle/2250/196833,"Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Lobos Gil, Aníbal Isaías",BISÁID: RETRATOS DETRÁS DEL ESCENARIO. Exploración Audiovisual Experimental de Testimonios en la Música Urbana Chilena,"Memoria para optar al título de Diseñador, mención Visual y Medios",3,2025,,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Machuca Celis, Katherine Valentina del Carmen","Rediseño de layout de la zona de trozado de pollos, bajo parámetros de seguridad de trabajadores, higiene y optimización de la producción de la planta Agrosuper de Lo Miranda","Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2024,https://repositorio.uchile.cl/handle/2250/204106,"Domínguez González, Pablo",51141,https://uchile.cl/portafolio-academico/academico/51141,"Marín Pacheco, J. Antonio",,
"Müller Araya, María Valentina",El giro forense como práctica crítica en diseño: Re-configurando la representación de la violencia lenta en la Zona de Sacrificio Quintero-Puchuncaví,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,,"Ferrera Leiva, Daniel ",20194,https://uchile.cl/portafolio-academico/academico/20194,"Bustamante Salazar, Jacob",,
"Muñoz Méndez, Margarita Paz",Rastro Oculto: Juego gráfico-terapéutico inclusivo orientado a personas con hemianopsia homónima,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,https://repositorio.uchile.cl/handle/2250/207100,"Stange Marcus, Hans",58037,https://uchile.cl/portafolio-academico/academico/58037,,,
"Núñez Aguirre, Valentina Alesandra","Cerrillanas, creadoras cotidianas",Memoria para optar al título de Diseñadora,1,2024,https://repositorio.uchile.cl/handle/2250/200913,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Pastén Michea, Shania Aline",Nuevo ciclo : desarrollo de contenedores de basura urbana utilizando HDPE reciclado de industria minera,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,https://repositorio.uchile.cl/handle/2250/209186,"Perea Morales, René ",23435,https://uchile.cl/portafolio-academico/academico/23435,,,
"Piña Benítez, Valentina de Jesús",Sinergia,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,,"Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Poblete Sánchez, Camila Ignacia",Tierras de anoche : proyecto de título para la construcción de un álbum ilustrado inspirado en mitología latinoamericana sobre insectos,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2023,https://repositorio.uchile.cl/handle/2250/197510,"Young Araya, Mariana",,,,,
"Quilodrán Ibarra, Valentina Catalina","""De paso"" calzado infantil : creciente y personalizable",Memoria para optar al título de Diseñadora,1,2025,https://repositorio.uchile.cl/handle/2250/207153,"Lares López, Lorna",57067,https://uchile.cl/portafolio-academico/academico/57067,,,
"Ramírez Ávila, Antonia Belén",Diseño biofílico experimental: Exploración de experiencias sensoriales con bioluminiscencia bacteriana para el bienestar en entornos urbanos,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2024,https://repositorio.uchile.cl/handle/2250/203648,"Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Rocha Acuña, Macarena Fernanda",Imágenes de mujeres en el estallido social : prácticas divergentes al ícono masculinizado en diseño,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2022,"https://repositorio.uchile.cl/handle/2250/188049","Gómez Moya, Cristian",30442,https://uchile.cl/portafolio-academico/academico/30442,,,
"Rojas Parada, Camila Graciela",Del briefing a la implementación: Diseño de un sistema de exhibición para DKNY Body Mist en tiendas departamentales,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2025,,"Domínguez González, Pablo",51141,https://uchile.cl/portafolio-academico/academico/51141,,,
"Salinas Van Treek, Montserrat Abril",Simeis : set de estimulación sensorial para la detonación de experiencias nostálgicas,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2022,"https://repositorio.uchile.cl/handle/2250/188185","Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Salvatierra Jermany, Yelisa Belén",Propuesta de Diseño para un Simulador de Instalación de Drenaje Ventricular Externo,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2023,https://repositorio.uchile.cl/handle/2250/197743,"Domínguez González, Pablo",51141,https://uchile.cl/portafolio-academico/academico/51141,,,
"Sepúlveda González, Ignacio Nicolás",Rediseño de pieza facial de respiradores de medio rostro en sistemas de intercomunicación para trabajadores de faenas mineras Chilenas,"Memoria para optar al título de Diseñador, mención Industrial y Servicios",3,2025,,"Maldonado de la Fuente, Félix",29586,https://uchile.cl/portafolio-academico/academico/29586,,,
"Seyssel González, Pamela Paz",MASQUERADE. Una herramienta de apoyo para el diagnóstico de neurodivergencias,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2025,https://repositorio.uchile.cl/handle/2250/207135,"Zorzano Betancourt, Osvaldo ",33113,https://uchile.cl/portafolio-academico/academico/33113,,,
"Solís Bastías, Yessenia Estefanía",Desarrollo de un material compuesto basado en paja de trigo harinero para la elaboración de una superficie de apoyo sostenible para la práctica del yoga,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2022,"https://repositorio.uchile.cl/handle/2250/188205","Wechsler Pizarro, Andrea",,,,,
"Turra Díaz, Felipe Javier","Identidad, Territorio y Narrativa Visual: Diseño de sistema de marca en el deporte profesional","Memoria para optar al título de Diseñador, mención Visual y Medios",,2025,,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Uribe Sepulveda, Paula Sofia",DERMIS-4 Llevar un paisaje contaminado sobre el cuerpo,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2024,https://repositorio.uchile.cl/handle/2250/203718,"De la Sotta Lazzerini, Paola",21430,https://uchile.cl/portafolio-academico/academico/21430,,,
"Valdés Jorquera, Natalia Francisca",Sistema sensorial de estimulación cognitiva para personas mayores : kit de auto representación físico conceptual para el auto conocimiento propio y la evocación de empatía en contextos grupales,"Memoria para optar al título de Diseñadora, mención Industrial y Servicios",3,2023,"https://repositorio.uchile.cl/handle/2250/195606","Jacob Dazarola, Rubén",30742,https://uchile.cl/portafolio-academico/academico/30742,,,
"Villagra Mesías, Juan Brian",Voz y Gráfica,Memoria para optar al título de Diseñadora,1,2025,https://repositorio.uchile.cl/handle/2250/207067,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,
"Zamorano Negretti, Carla Sofía",Comunidad a través  del Juego: Codiseño de un juego de mesa para promover el sentido decomunidad entre jugadores universitarios.,"Memoria para optar al título de Diseñadora, mención Visual y Medios",2,2024,https://repositorio.uchile.cl/handle/2250/203653,"Castillo Espinoza, Eduardo",40224,https://uchile.cl/portafolio-academico/academico/40224,,,